Text,consolidated_tag,Target
我光是癌症住院一天就有六十塊的病房費照顧,醫療保障,7
我們這個專案的好處在裡頭,獨家商品,4
不囉嗦它就一次給,理賠快速乾脆,2
六大特定癌症,癌症保障,6
就是107萬5,其他,9
直接讓客戶領回來,期滿領回,0
基本上都要住到院才能夠申請理賠的,醫療保障,7
現在不是說我們今天抽菸喝酒吃冰淇淋就會得癌症,癌症保障,6
你知道一個月的藥費多少錢嗎,其他,9
你可以猜猜看,其他,9
她是比較符合現在的醫療體系,其他,9
一天二十九塊就可以買到這個癌症線,小錢大保障,1
不用跑願意去做體檢或健康檢查,其他,9
一天二十九塊,小錢大保障,1
不用跑,其他,9
不用做體檢或健康檢查,其他,9
今年度感恩客戶的活動,獨家商品,4
不是人情保,其他,9
真的已經專案夠好,其他,9
很多客戶覺得說,其他,9
健保是因為負擔一個標靶的費用,癌症保障,6
可能要花一百四十幾萬,其他,9
申請貸款一百五十萬,小錢大保障,1
現在也都控制得很好,小錢大保障,1
身體就很輕鬆了,其他,9
這種錢不能省,小錢大保障,1
需要的錢其實是更可怕的,小錢大保障,1
打去富邦銀行申請貸款還是打去富邦產險申請理賠,其他,9
這個照顧是很全方位,其他,9
一大筆就是一次57萬5或是107萬5時間啊,理賠快速乾脆,2
富邦準備個300萬來照顧客戶,保障額度,8
一次給付真的很好用啊,理賠快速乾脆,2
一樣是50萬來照顧客戶,其他,9
富邦很乾脆是發生了當下什麼都不問,理賠快速乾脆,2
一次57萬5或107萬5直接給,理賠快速乾脆,2
我們很多客戶他們真的有家人或朋友發生癌症的風險,癌症保障,6
就像之前余燕琦小姐，她還是他們家生活習慣最好啦，可是還是確診大腸癌,其他,9
富邦癌症險的照護,癌症保障,6
比較沒有後顧之憂,其他,9
以你現在年輕去買癌症險，其實保費是更可怕的欸,癌症保障,6
印尼的保單是比較輕鬆，他比較好入手，就是他很有彈性,保險彈性,3
這張保單是富邦的時候停賣商品,獨家商品,4
當初你參加的時候 這張保單是電話線上獨賣的活動,獨家商品,4
這張保單其實您保到今年度就是7月份會剛好保滿8年,其他,9
那如果你們覺得說現在每天就是可能意外事故,醫療保障,7
我們只有除去10年,其他,9
幫葉明服務到110歲,長期保障,5
每塊錢我們會多12%通通還給您,期滿領回,0
這次葉明那張是除去20年,其他,9
我們今天都把好說給您它是除去10年,其他,9
25年領都是幫您加強終身意外險,長期保障,5
我們這專輯100萬的保障,保障額度,8
其實是蠻難得的耶,獨家商品,4
這張保單是我們富邦人說的停賣商品了,獨家商品,4
謝謝妳的支持,其他,9
我們20年以後會加2%一次還給妳,期滿領回,0
意外醫療會幫妳保到110歲,長期保障,5
80萬意外醫療來保護妳,醫療保障,7
病房費1天800塊的照顧金,醫療保障,7
80萬的額度能夠保到110歲,長期保障,5
每天可以申請800塊,其他,9
每塊錢我們會加6%統統還給妳,期滿領回,0
幫妳服務終身醫療,長期保障,5
照顧到99歲,長期保障,5
我們加6%拿回來,期滿領回,0
會幫妳保到99歲,長期保障,5
病房費每天補貼3000,醫療保障,7
法定出來病住院都會照顧客戶喔,醫療保障,7
它就病房費1000給1000塊,醫療保障,7
第9期一天開始，就病房費每天補貼3000,醫療保障,7
每次住院都可以申請到最高365天的照顧喔,醫療保障,7
每天再補貼250元的門診保險金,醫療保障,7
住院動手術一次領6000,醫療保障,7
理賠通通是不會倒扣的,其他,9
1500塊門診手術金,醫療保障,7
5萬塊的現金給付,醫療保障,7
我們不像以前一樣,其他,9
直接一筆保險去做給付,理賠快速乾脆,2
我們貓科照顧的範圍,其他,9
他直接一筆保險去做給付,理賠快速乾脆,2
標靶用藥的額度的照顧,癌症保障,6
包含像有新型的打蚊心手術,癌症保障,6
20年一到會把大哥的錢加2%還給曾大哥,期滿領回,0
他是幫你保終身的,長期保障,5
意外醫療是50萬會幫曾大哥服務到110歲,長期保障,5
意外受傷住院會提供病癌費1天補貼500,醫療保障,7
意外住院病癌費1天補貼500,醫療保障,7
手術金一次1500,醫療保障,7
每次最高1萬5千塊的骨折為住院津貼,醫療保障,7
重大燒燙傷他現給付一次10萬,醫療保障,7
他就是一次給付10萬塊,理賠快速乾脆,2
他是每年每年續約 他很有彈性不綁約,保險彈性,3
他直接一大筆保險金做給付,理賠快速乾脆,2
可以直接跟富邦申請50萬現金,理賠快速乾脆,2
這個50萬在我們做任何的治療之前他不用拿收據,理賠快速乾脆,2
他只要診斷證明書,理賠快速乾脆,2
不管是一期二期三期四期的癌症,癌症保障,6
這六項我們會再多增加1比50萬,保障額度,8
都是一次就是領107萬5千塊,理賠快速乾脆,2
零期原味癌都可以直接一整筆發7萬5千塊,理賠快速乾脆,2
我們這邊是零期原味癌，都可以直接一整筆發7萬5千塊,理賠快速乾脆,2
他等於是低保費高保障,小錢大保障,1
那其他癌症就是57萬5,癌症保障,6
國人罹患率比較高的6種癌症，他就是107萬5都直接現金賠,癌症保障,6
國人罹患率比較高的6種癌症107萬5都直接現金賠,癌症保障,6
到就整段日起三年內都可以跟富邦申請理賠,其他,9
因為畢珠在富邦有參加我們儲蓄型的意外寶藏,醫療保障,7
有印象嗎,其他,9
目前你累積的額度是130萬,其他,9
會幫你保到110歲,長期保障,5
意外受傷出原來已經用病療費1000-1300塊來照顧親,醫療保障,7
我們不是住院幾天陪幾天,醫療保障,7
他直接一大筆包錢進去做給付,其他,9
我們是只要確定出現一種癌症，他直接一大筆包錢進去做給付。,癌症保障,6
他是連標靶藥物的治療跟癌症手術都有做照顧。,癌症保障,6
蠻強一天大概52元,小錢大保障,1
一個月158就可以參加了,小錢大保障,1
這張保單是繳20年,其他,9
25年會把老師的錢多228還給您,期滿領回,0
這張保單是我們的停賣商品,獨家商品,4
我們25年會把老師的錢多228還給您,期滿領回,0
他到您67歲之前都會有保障在,其他,9
他是鎖定舊保護 外面是買不到,獨家商品,4
他直接一大筆保險金做給付 一次給付喔,理賠快速乾脆,2
這些比較新型的大蚊蟹手術都有直接做一個照顧,癌症保障,6
他可以直接跟富邦申請五十萬現金就只一筆賠下來,理賠快速乾脆,2
他不用拿收據過來,理賠快速乾脆,2
發生在任何的器官部位,其他,9
五十萬現金就只一筆賠了,理賠快速乾脆,2
這六大高風險癌症我們會再多增加比五十萬,癌症保障,6
一次領一百萬,理賠快速乾脆,2
生活補助金七萬五,其他,9
都是現金直接賠的,其他,9
連原味癌都會幫貴賓做一個照顧,其他,9
連零期原味癌都可以一整筆直接發七萬五,理賠快速乾脆,2
大度保證他不會中止,其他,9
等於五十萬或一百萬都可以繼續賠,其他,9
台灣全民健保針對標靶藥物是部分給付,癌症保障,6
我們等於另外多一個300萬的用藥額度,保障額度,8
我們會提供最高50萬達文西手術醫療費用保險金,癌症保障,6
畢竟對身體的危害少很多嘛,其他,9
所以我們才另外多一個50萬達文西手術醫療費用保險金,癌症保障,6
一次領57萬5,理賠快速乾脆,2
加碼300萬的標靶用藥額度,癌症保障,6
一年一年的不綁約,保險彈性,3
平均一天只要是58元一個月175就可以參加到,小錢大保障,1
低保費可以享受高度的癌症險保障,癌症保障,6
比較適合現在的醫療體系,其他,9
以前癌症險可能就是陪住院嘛,癌症保障,6
現在醫學一直進步真的住院數越來越短,醫療保障,7
癌症住院日有一天六千很高耶,醫療保障,7
所以住院護方才會一次就是給五七萬五或是一百零七萬五,醫療保障,7
他給的額度比較高,其他,9
確定初始理化癌症，他可以直接一次領57萬5,癌症保障,6
六大特定癌症集中一下就是107萬，我都直接給,癌症保障,6
其實標靶藥現在算是蠻精準的治療方式,癌症保障,6
"一天是58元,一個月1759元",小錢大保障,1
就可以享受到高緩度的癌症前保障,癌症保障,6
妳有參加富邦一張新富房來保本保險,期滿領回,0
妳有印象嗎,其他,9
繳15年,其他,9
25年會把妳繳的錢1.02倍還給您,期滿領回,0
幫妳保護到妳62歲,其他,9
意外醫療是100萬,醫療保障,7
搭路上水上搭送物工具是150萬,其他,9
意外住院、癌症住院病人費一定會補貼1000,醫療保障,7
癌症住院做手術手術金是給1萬,醫療保障,7
沒有,其他,9
它不是住院幾天賠幾天的病房費,醫療保障,7
只要確定初始以後癌症,癌症保障,6
50萬現金就直接一筆賠下來,理賠快速乾脆,2
它可以直接跟福邦申請,理賠快速乾脆,2
不用拿收據過來,理賠快速乾脆,2
這六項我們就再多給50萬,保障額度,8
只要其中一種就是領100萬,其他,9
加上癌症送服金7萬5,癌症保障,6
我們這連領起原味癌，都可以直接一整筆發7萬5。,理賠快速乾脆,2
重點是讓你保證它不會中止。,長期保障,5
等於會多準備一個300萬的用藥額度來照顧客戶,保障額度,8
我們等於會多準備一個300萬的用藥額度來照顧客戶,保障額度,8
達文西手術的概念是比微創更微創,癌症保障,6
那達文西手術的概念是比微創更微創,癌症保障,6
我們LY提供最高50萬達文西手術醫療病用保險金,癌症保障,6
達文西那個機器光是一開機就要5萬塊,癌症保障,6
畢竟對身體危害少很多,其他,9
50萬達文西手術醫療費用保險金,癌症保障,6
六大高風險癌症,癌症保障,6
一次領57萬5或107萬5,理賠快速乾脆,2
微創手術、免疫療法、細胞療法,癌症保障,6
50萬的打完型手術,癌症保障,6
不用綁10年20年,保險彈性,3
一天是58元,小錢大保障,1
一個月1759就可以參加,小錢大保障,1
享受到高度的癌症險保障,癌症保障,6
只要發生了當下，就一次賠57萬或107萬5,理賠快速乾脆,2
外面的保單是做不到的啦,獨家商品,4
如果不治療是沒有賠的欸,其他,9
婉瑜的癌症住院日額買到日額6千,醫療保障,7
一天會有6千塊的病房費,醫療保障,7
我們就是一次領57萬或107萬,理賠快速乾脆,2
只要確診出來，就是診斷證明書跟病情辦法過來，她就一次給,理賠快速乾脆,2
其實都不太會住院,醫療保障,7
大概三個人就有一個人得癌症,癌症保障,6
其實我們這個專案，它是比較符合現在的醫療體系啦,其他,9
主要是它繳起來也很輕鬆，很彈性不綁約,保險彈性,3
它是比較符合現在的醫療體系,其他,9
主要是它繳起來也很輕鬆,小錢大保障,1
很彈性不綁約,保險彈性,3
五五幾塊就可以做個癌症先報帳,癌症保障,6
我們20年一到會加兩%直接還給大哥,期滿領回,0
你的意外醫療會幫你保到110歲,長期保障,5
一次領62萬8400元,理賠快速乾脆,2
意外醫療會幫你保到110歲,長期保障,5
80萬的意外醫療來保護蔡大哥,醫療保障,7
病人費一天800塊來照顧菁英,其他,9
(一般意外險)繳掉就花掉了...錢沒了保證也沒了,醫療保障,7
(這張保單)錢會通通還給您,期滿領回,0
我們錢會通通還給您,期滿領回,0
我們只有儲蓄10年,期滿領回,0
意外醫療也會幫你加強起來服務您到110歲,長期保障,5
25年一到會把大哥每塊錢會多12%通通還給您,期滿領回,0
這麼好怎麼可能不保,其他,9
大哥通通領的回來,期滿領回,0
才放33萬6就這麼貼心,其他,9
多12%,期滿領回,0
160萬意外醫療,醫療保障,7
幫你保護到110歲,長期保障,5
多12%還給大哥,期滿領回,0
再讓你多領1筆37萬6320元,期滿領回,0
福邦幫你保護到110歲,長期保障,5
福邦都會幫客戶照顧起來,其他,9
我們再幫你加80萬,保障額度,8
可以更安心,其他,9
我們這樣儲蓄10年 能夠照顧中生意外醫療,醫療保障,7
福邦意外醫療直接服務到110歲 是可以更安心的,長期保障,5
它是線上獨賣的活動,獨家商品,4
其實總共繳的保密是少的,小錢大保障,1
等於一個月280之後儲蓄10年,期滿領回,0
80萬的保障,其他,9
這一張都很喜歡,其他,9
"因為您在富邦有參加兩份寶藏,都是富邦的停賣商品",獨家商品,4
"要幫你把內容做個說明,那也可以更了解",其他,9
他是定期的醫療保障,醫療保障,7
"您56歲一到,我們可以把您繳個錢,加5%還給您",期滿領回,0
他是定期的醫療保障,其他,9
"我們可以把您繳個錢,加5%還給您",期滿領回,0
"只要住到您就可以省你一天1000塊,然後加5%一天2000",期滿領回,0
"意外受傷住院,會提供病房費一天800塊的照護金",醫療保障,7
"住院日的一天,就是醫療日額,只要住到您就可以省你一天1000塊",醫療保障,7
"如果意外受傷住院,會提供病房費一天800塊的照護金",醫療保障,7
"80萬的意外醫療,會幫你保到110歲",長期保障,5
"病房費一天800塊的照護金,會照顧如玉姐到80歲之前",醫療保障,7
"如果確定出事以外有癌症,他就直接一大筆保險金做給付",癌症保障,6
新的用料是標靶藥物的治療,癌症保障,6
這個專案是沒有對外面做銷售的,獨家商品,4
他可以直接跟富邦申請50萬先進,其他,9
不管是一期、二期、三期、四期的癌症,癌症保障,6
"我們再多給一筆, 癌症收補已經7萬5",癌症保障,6
"我們再多給一筆,癌症收補已經7萬5",癌症保障,6
"這六大高風險的癌症,我們再多增加一筆50萬",癌症保障,6
"等於是這六項其中一項就變100萬,加上癌症收補已經7萬5,就是一次領107萬5",癌症保障,6
"比較特別的是,我們會連原外癌都會幫客戶做一個照顧",其他,9
我們這邊是領其原外癌都可以一整筆先拿七萬五,理賠快速乾脆,2
一天是58塊就可以參加了,小錢大保障,1
屬於一大筆一次給付,理賠快速乾脆,2
我們會提供最高三百萬的用藥額度,保障額度,8
口服就是我們也去看門診,醫療保障,7
"醫生開藥讓我們帶回家吃,不用住院喔",醫療保障,7
一般早期癌症保單如果沒有住到院其實比較不容易理賠,癌症保障,6
現在癌症的機率是三分之一,癌症保障,6
三個人就一個人得癌症,癌症保障,6
那停賣對你的權利是不會有影響的,獨家商品,4
要幫你把之前內容做個說明啦,其他,9
每年2.5%幫你做富力增值,期滿領回,0
他可以放到終身110歲,長期保障,5
是不會損失的,期滿領回,0
"這張是繳20年,那我們20年一到會把大哥的錢加2%還給你",期滿領回,0
意外醫療是100萬會幫你保到110歲,長期保障,5
如果意外受傷住院會定用病房費一天1000塊來照顧基因,醫療保障,7
醫療險是繳20年，那我們20年一到會讓大哥你領回70%的保費,期滿領回,0
"他很有彈性,他是一年一年的不綁約",保險彈性,3
"只要確定出事以後癌症,他就直接一大筆包錢進做起付",癌症保障,6
還有考量到說現在有個新的用藥是標靶用藥,癌症保障,6
"他直接可以跟富邦申請,50萬先進就直接一筆賠下來",理賠快速乾脆,2
"這六大高風險癌症,我們就多增加一筆50萬",癌症保障,6
50萬先進就直接一筆賠了,理賠快速乾脆,2
六大高風險癌症...多增加一筆50萬,癌症保障,6
連原味癌的客戶都可以照顧,其他,9
連零期原味癌都可以直接一整筆發7萬5,理賠快速乾脆,2
重點是當然都保證他不會中止,長期保障,5
我們就是一次給57萬5或107萬5,理賠快速乾脆,2
"富邦很大氣,就是一次直接給",理賠快速乾脆,2
我們這張預算也很輕,小錢大保障,1
"一天是43塊,一個月1292就可以參加",小錢大保障,1
您是我們的貴賓,其他,9
想要做個簡單的服務,其他,9
一個月您儲蓄2458 它儲蓄20年,期滿領回,0
會多22%還給陳大哥,期滿領回,0
會多一個五十萬的保障來保護你,保障額度,8
它會把你繳的錢20年的錢多22%還給你,期滿領回,0
服務到110歲,長期保障,5
會多12%通通還給你,期滿領回,0
只要繳10年,其他,9
意外保證直接保到110歲,長期保障,5
還可以多12%錢領回來用,期滿領回,0
等於累積的錢比較多,其他,9
預算上也很輕鬆,小錢大保障,1
我們25年一大會多12%,期滿領回,0
再多領一筆23萬5200塊,期滿領回,0
意外醫療都幫你繳到110歲,長期保障,5
1750繳10年就保終身,長期保障,5
只有儲蓄10年,期滿領回,0
直接幫你保護到110歲,長期保障,5
我們還會把你儲蓄的錢多12%,期滿領回,0
因為我們這張只有儲蓄10年,期滿領回,0
其實年限是很短的,其他,9
你只有儲蓄到63歲就保障,期滿領回,0
但是保證能夠保終審一輩子了,其他,9
而且繳費年限短之外，儲蓄金額又比較少,期滿領回,0
萬宇是撥電話跟你表達感謝之意,其他,9
我們20年會把你繳的錢加5%還給你,期滿領回,0
這20年當中會多一個住院日，它並要在一天是1000塊,醫療保障,7
它56歲領回,期滿領回,0
這20年當中會多一個住院日,醫療保障,7
一天是1000塊,小錢大保障,1
25年會把你繳的錢還給你,期滿領回,0
這張它是儲蓄20年,期滿領回,0
我們25年會把錢還給你,期滿領回,0
它是120萬的額度,其他,9
它是保身故是完全失能的,長期保障,5
等於累積退休金,期滿領回,0
又可以加強到寶裝的功能,其他,9
希望我們能提供中央可以儲蓄零回來，但能夠加強終身意外險,長期保障,5
這樣林大哥也可以透過儲蓄寶裝的方式,期滿領回,0
扶林大哥到110歲喔,長期保障,5
每一塊錢會多12%通通換,期滿領回,0
繳費的時間短,其他,9
就10年,其他,9
一個月1000多2000多,小錢大保障,1
每天都是意外事故的報導,醫療保障,7
其實意外寫也蠻重要的,醫療保障,7
那麼錢會通通還給您,期滿領回,0
意外醫療還幫你保到110歲,長期保障,5
每一塊錢，我們會多12%通通還給你,期滿領回,0
我們會多12%通通還給你,期滿領回,0
我們的保護貴賓都很滿意,其他,9
我們會多一個意外醫療會幫你保護到110歲,長期保障,5
給你100萬的意外醫療,醫療保障,7
他會幫你升等到300萬,保障額度,8
我們的意外醫療會幫你服務到你110歲,長期保障,5
25年一到會幫你每塊錢會多12%都還給你,期滿領回,0
輕鬆儲蓄的方式,期滿領回,0
終身意外醫療,長期保障,5
多12%全部領回來,期滿領回,0
最幸福最沒有後顧之憂,其他,9
那其實意外型蠻重要的,醫療保障,7
是他會照顧到我們貴賓工作上的安全,其他,9
如果可以透過儲蓄的方式來做參加，其實是蠻值得規劃的耶,期滿領回,0
一個月一千多塊兩千多塊也可以來做參加,小錢大保障,1
這張寶代是富邦的時候都停賣的商品了,獨家商品,4
大哥很有眼光,其他,9
您幫自己儲蓄1479,期滿領回,0
20年一大會加2%直接還給您,期滿領回,0
你可以領回36萬2100塊,期滿領回,0
我們提供病房費一天500塊的照顧金,醫療保障,7
你透過儲蓄保障的方式，我們錢會通通還給您,期滿領回,0
如果保費可以當儲蓄的功能,期滿領回,0
我們客戶都很滿意,其他,9
會多12%通通還給您,期滿領回,0
會保到110歲,長期保障,5
還可以多12%錢領回來,期滿領回,0
一個月只要除蓄1750就有了,小錢大保障,1
你只要放21萬,小錢大保障,1
25年一到會多12%,期滿領回,0
100萬的意外醫療,醫療保障,7
幫你意外醫療就幫客戶照顧起來,醫療保障,7
我們再幫你加50萬,保障額度,8
會服務蔡大哥到你110歲了,長期保障,5
這次會做升等,保障額度,8
搭路上水上搭重速工具 . A: 會升等兩倍 . A: 幫你加碼100萬來保護你,保障額度,8
. A: 如果搭乘飛機 . A: 還會幫你升等到三倍150萬,保障額度,8
保護蔡大哥到你110歲,長期保障,5
等於一方面也是累積退休金,期滿領回,0
副幫意外醫療也是直接保到110歲,長期保障,5
這一張都有保,其他,9
我們這張是儲蓄10年,期滿領回,0
25年多12%零回來,期滿領回,0
意外險保到110歲,長期保障,5
然後25年多12%零回來,期滿領回,0
有些是消費型的,其他,9
是拿不回來的,其他,9
你20年到他，他全部退回來,期滿領回,0
復約的部分，他是要一直繳欸,其他,9
富邦人壽的終身醫療安全在保險一直都很有名,長期保障,5
我們是所有保險那邊第一家幫客戶入到保費可以全部領回,期滿領回,0
我們是所有保險那邊第一家,其他,9
幫客戶入到保費，可以全部領回,期滿領回,0
富邦人壽精想福,其他,9
保本終身健康保險,長期保障,5
儲蓄領回,期滿領回,0
保終身醫療,長期保障,5
每一塊錢我們會加6%,期滿領回,0
幫你保到99歲,其他,9
它一樣是讓客戶儲蓄,期滿領回,0
錢可以先領回,期滿領回,0
理賠不會倒扣,其他,9
但是付包是加碼,其他,9
終身醫療,長期保障,5
邀請你繳20年，我們25年以到會把怡伶的錢多22%還給您,期滿領回,0
它是保生物是完全失能，60萬的保障,長期保障,5
25年以到會把怡伶的錢多22%還給您,期滿領回,0
身故完全失能一個60萬的保障來服務貴賓,長期保障,5
20年以到會把妳繳的錢多2%還給怡伶,期滿領回,0
您的意外醫療是100萬的額度。會幫您保到110歲,長期保障,5
會幫您保到110歲,長期保障,5
住院會提供病養費1000塊的照顧金,醫療保障,7
意外跟疾病一直都是國人十大死因第一名,醫療保障,7
他直接一大筆保險金做起付喔,理賠快速乾脆,2
連標靶藥物都有做照顧,癌症保障,6
比較新型的達文西手術,癌症保障,6
一年一月的保單,保險彈性,3
比較有彈性,保險彈性,3
確定出事疲慮癌症直接可以跟福邦申請50萬先進就直接一筆賠下來,癌症保障,6
六大高風險癌症多增加一筆50萬,癌症保障,6
我們再多增加一筆50萬,保障額度,8
都是直接現金賠的耶,其他,9
三年內有不用到標靶藥，都可以跟福邦申請理賠,癌症保障,6
這三年內都可以跟福邦申請理賠,其他,9
300萬的用藥額度幫客戶做照顧,保障額度,8
最高50萬的達文西手術醫療費用保險金,癌症保障,6
達文西手術其實是比微創手術更精密,癌症保障,6
傷口真的小很多,其他,9
出血量比較少,其他,9
後遺症距離比較低,其他,9
他就最少就有50萬,其他,9
六項高風險癌症就100萬,癌症保障,6
最少就有50萬,其他,9
加上補助金的話就是1、40、57萬5或107萬5,其他,9
我們這是很有彈性,保險彈性,3
它是一年一年的不綁約,保險彈性,3
那您都可以自己做評估,其他,9
很多客戶覺得說其實算是低保費、高保障,小錢大保障,1
我們是鎖定給就保護,其他,9
我癌症住院的日額一定就6000塊,醫療保障,7
現在醫學一直進步耶,其他,9
其實住院的數字越來越短,醫療保障,7
我們就是一次就是一大筆,理賠快速乾脆,2
它跟你原本的保單不衝突,其他,9
重點是它預算上也蠻輕鬆的,小錢大保障,1
這張保代它是可以做領回的,期滿領回,0
它是意外險幫你照顧終身,長期保障,5
它是電話線上獨賣的活動,獨家商品,4
25年會把你儲蓄的錢多12%還給你大哥,期滿領回,0
能夠一次領回42萬3360元,期滿領回,0
"我們走路騎車開車,會有90萬意外醫療來保護你大哥,它是保到110歲的",長期保障,5
我們25年會把你儲蓄的錢多12%還給你,期滿領回,0
25年會把你儲蓄的錢多12%還給你,期滿領回,0
"意外醫療,會幫你保到110歲,它是90萬",長期保障,5
病房費一天900塊的照顧金,醫療保障,7
一次領回42萬3360元,期滿領回,0
"90萬意外醫療來保護你大哥,它是保到110歲的",長期保障,5
"病房費一天900塊的照顧金,會照顧你大哥到你85歲之前",醫療保障,7
"會有90萬意外醫療來保護你大哥,它是保到110歲的",長期保障,5
"我們會提供病房費一天900塊的照顧金,會照顧你大哥到你85歲之前",醫療保障,7
"一樣可以透過儲蓄保障的方式,你們一塊錢會不會加6%,也是通通還給您",期滿領回,0
一樣可以透過儲蓄保障的方式,期滿領回,0
你們一塊錢會不會加6%,期滿領回,0
"我們的醫療保障,會幫你服務到99歲",長期保障,5
"我們幫你兼具終身醫療險,幫你保到99歲",長期保障,5
"我們會給你一個300萬的醫療保障,幫你服務到99歲",長期保障,5
"小到感冒常危研住院,或引發癌症、重痾、意外事故住院",醫療保障,7
"每天2000、2000,每次住院可以賠最高365天喔",醫療保障,7
"我們附送就是直接拉長到365天,很足夠",其他,9
"一次領6000塊,double",理賠快速乾脆,2
附送直接拉長到365天,其他,9
每天會有250元的門診保險金,醫療保障,7
我們只要住院動手術就一次領6000塊,醫療保障,7
跌倒撕裂傷了...都可以跟富邦領1500塊門診手術金,醫療保障,7
做到重大器官移植...每個器官會給一次5萬塊的現金給付,理賠快速乾脆,2
我們每個器官會給一次5萬塊的現金給付,理賠快速乾脆,2
等於富邦準備一個300萬的醫療保障,保障額度,8
我們會加6%還給你,期滿領回,0
"醫療險越年輕,他保費是越便宜的",其他,9
把錢領走我們的醫療保障還是會繼續幫你服務到99歲,長期保障,5
可以一次領108萬4380元,理賠快速乾脆,2
我們的醫療保障還是會繼續幫你服務到99歲,長期保障,5
"這張寶單是透過儲蓄領回,然後幫您加強終身意外醫療",期滿領回,0
"大哥在富邦放了54萬,我們25年會多12%一次還給邱大哥",期滿領回,0
